#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2018-03-08 to 2018-04-05
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 389: Casper Mtn., WY
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                              
# Snow Depth               Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                         
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  
# Air Temperature Minimum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency  
# Air Temperature Average  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Casper Mtn. (389) 
# Wyoming  SNOTEL Site - 7900 ft
# Reporting Frequency: Daily; Date Range: 2018-03-08 to 2018-04-05
#
# As of: Apr 5, 2018 7:07:48 AM GMT-08:00
#
Date,Snow Depth (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
2018-03-08,24,44,27,35
2018-03-09,23,43,28,34
2018-03-10,23,30,17,24
2018-03-11,23,41,17,29
2018-03-12,22,42,26,33
2018-03-13,23,45,24,34
2018-03-14,23,51,31,41
2018-03-15,22,44,32,37
2018-03-16,22,34,24,30
2018-03-17,27,44,24,34
2018-03-18,26,35,20,27
2018-03-19,30,33,20,26
2018-03-20,29,35,20,28
2018-03-21,28,44,22,34
2018-03-22,27,51,35,43
2018-03-23,25,44,30,37
2018-03-24,24,45,27,37
2018-03-25,24,42,26,34
2018-03-26,27,27,19,24
2018-03-27,28,38,18,30
2018-03-28,27,33,24,29
2018-03-29,29,30,21,25
2018-03-30,33,44,23,34
2018-03-31,31,32,15,24
2018-04-01,30,45,18,34
2018-04-02,29,46,11,33
2018-04-03,32,31,8,21
2018-04-04,30,45,26,35
2018-04-05,27,,,
