#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1082: Grand Targhee, WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Grand Targhee (1082) 
# Wyoming  SNOTEL Site - 9260 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Feb 4, 2018 7:14:32 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Sep 2006,,0,,121,25,47
Oct 2006,1.7,4,0.0,55,10,35
Nov 2006,4.2,22,5.8,47,-7,26
Dec 2006,11.8,46,11.6,45,-2,23
Jan 2007,19.7,71,17.1,45,-10,16
Feb 2007,23.7,80,20.1,45,-10,22
Mar 2007,32.1,108,25.9,51,-5,32
Apr 2007,35.8,96,28.2,64,12,35
May 2007,41.9,89,31.8,66,15,44
Jun 2007,20.3,42,33.3,76,29,54
Jul 2007,0.0,0,35.6,82,52,65
Aug 2007,0.0,0,36.7,76,42,59
Sep 2007,0.0,0,39.3,73,26,48
Oct 2007,0.0,0,0.0,60,19,37
Nov 2007,5.8,20,6.9,48,5,28
Dec 2007,12.7,51,11.5,36,-3,16
Jan 2008,21.3,75,16.4,40,-9,15
Feb 2008,32.7,101,23.9,49,0,21
Mar 2008,39.7,112,28.1,39,2,21
Apr 2008,49.7,139,34.7,54,6,28
May 2008,54.6,129,38.0,65,17,40
Jun 2008,56.8,113,44.5,74,24,48
Jul 2008,29.7,56,48.5,73,44,59
Aug 2008,0.0,0,49.1,75,37,58
Sep 2008,0.0,0,50.7,67,28,48
Oct 2008,0.0,0,0.0,64,15,38
Nov 2008,1.8,4,3.4,52,9,31
Dec 2008,8.1,24,10.1,35,-12,17
Jan 2009,17.8,63,16.6,55,-13,22
Feb 2009,26.6,87,23.4,45,5,23
Mar 2009,32.5,96,26.9,53,3,24
Apr 2009,42.8,127,33.3,56,12,33
May 2009,52.9,125,40.4,69,13,43
Jun 2009,39.2,78,43.5,69,32,47
Jul 2009,11.3,18,50.9,74,39,57
Aug 2009,0.0,0,50.9,75,35,55
Sep 2009,0.0,0,53.0,69,21,52
Oct 2009,2.2,14,0.0,53,8,28
Nov 2009,6.2,23,5.5,52,5,26
Dec 2009,9.5,34,7.6,33,-14,12
Jan 2010,14.8,58,11.4,38,-15,20
Feb 2010,23.8,96,18.5,38,-1,18
Mar 2010,28.0,90,21.9,46,6,25
Apr 2010,34.1,105,25.7,57,5,29
May 2010,43.2,115,33.3,58,9,32
Jun 2010,46.8,108,39.0,70,24,45
Jul 2010,18.5,37,44.8,71,36,54
Aug 2010,0.0,0,45.4,70,32,53
Sep 2010,0.0,0,46.7,65,24,48
Oct 2010,0.0,0,0.0,65,13,38
Nov 2010,6.1,25,5.7,54,-15,21
Dec 2010,15.0,58,11.3,40,-16,20
Jan 2011,24.3,82,17.8,41,-13,16
Feb 2011,33.6,101,24.6,37,-15,15
Mar 2011,38.8,112,28.4,37,7,22
Apr 2011,48.8,136,37.1,46,8,25
May 2011,62.4,170,45.7,66,16,34
Jun 2011,70.2,151,53.5,69,22,44
Jul 2011,46.4,91,61.1,72,40,56
Aug 2011,0.0,0,62.1,71,41,56
Sep 2011,0.0,0,64.0,65,35,49
Oct 2011,0.0,0,0.0,61,14,35
Nov 2011,2.9,8,5.5,38,-3,21
Dec 2011,10.4,37,9.6,38,-6,18
Jan 2012,15.2,54,13.0,40,-4,19
Feb 2012,22.3,72,19.1,33,2,17
Mar 2012,30.1,103,24.5,49,2,28
Apr 2012,37.5,101,29.9,63,9,34
May 2012,37.6,92,33.7,65,16,39
Jun 2012,31.5,66,38.1,73,24,49
Jul 2012,0.0,0,38.9,74,43,59
Aug 2012,0.0,0,40.0,75,43,58
Sep 2012,0.0,0,41.0,64,37,49
Oct 2012,0.0,0,0.0,56,13,34
Nov 2012,4.1,16,4.7,46,-1,27
Dec 2012,13.2,53,11.0,33,-8,16
Jan 2013,20.0,71,15.9,40,-19,17
Feb 2013,25.6,91,20.3,34,-3,16
Mar 2013,29.0,97,22.7,46,-3,23
Apr 2013,35.0,97,26.5,51,4,27
May 2013,41.8,103,31.1,60,15,40
Jun 2013,31.0,72,36.7,73,28,50
Jul 2013,0.0,0,37.3,75,44,59
Aug 2013,0.0,0,38.0,73,46,58
Sep 2013,0.0,0,39.1,70,23,46
Oct 2013,0.5,2,0.0,52,17,32
Nov 2013,5.2,24,5.4,51,5,26
Dec 2013,12.9,43,10.0,38,-21,13
Jan 2014,21.5,77,15.5,37,-4,19
Feb 2014,27.0,97,19.7,42,-9,18
Mar 2014,37.8,116,28.1,42,4,24
Apr 2014,49.6,147,37.9,51,6,30
May 2014,55.5,139,43.3,64,19,42
Jun 2014,39.5,83,45.1,63,26,45
Jul 2014,7.6,17,47.5,72,40,58
Aug 2014,0.0,0,48.2,70,33,51
Sep 2014,0.0,0,54.4,66,27,48
Oct 2014,0.9,2,0.0,58,17,38
Nov 2014,1.5,4,3.3,50,-8,22
Dec 2014,11.9,45,11.4,45,-6,21
Jan 2015,19.4,70,16.4,53,2,24
Feb 2015,27.8,85,22.4,47,2,24
Mar 2015,31.2,92,25.7,50,-5,30
Apr 2015,33.0,83,27.6,56,8,32
May 2015,35.5,80,30.9,60,24,40
Jun 2015,26.3,53,37.4,75,37,54
Jul 2015,0.0,0,39.6,70,30,52
Aug 2015,0.0,0,42.0,74,39,54
Sep 2015,0.0,0,44.8,66,28,49
Oct 2015,0.0,0,0.0,62,22,41
Nov 2015,2.5,9,4.1,42,1,21
Dec 2015,8.1,29,8.5,38,-4,16
Jan 2016,17.7,64,14.5,35,2,20
Feb 2016,27.6,101,21.4,50,-2,23
Mar 2016,30.4,85,23.8,46,4,25
Apr 2016,39.1,109,29.9,58,15,35
May 2016,42.1,95,34.5,61,16,39
Jun 2016,33.1,67,38.9,71,32,53
Jul 2016,0.0,0,39.7,72,31,56
Aug 2016,0.0,0,40.4,70,38,56
Sep 2016,0.0,0,40.8,64,29,45
Oct 2016,0.0,0,0.0,53,18,36
Nov 2016,8.6,23,11.9,54,8,30
Dec 2016,14.3,,15.4,33,-15,12
Jan 2017,23.5,,22.3,42,-8,16
Feb 2017,28.6,,26.5,49,1,22
Mar 2017,35.9,,33.7,49,1,29
Apr 2017,43.4,108,38.9,53,9,29
May 2017,57.8,158,51.0,65,16,41
Jun 2017,49.9,,53.5,71,29,48
Jul 2017,0.0,0,56.6,74,44,59
Aug 2017,0.0,0,58.8,71,40,56
Sep 2017,0.0,0,59.5,73,21,45
Oct 2017,3.5,21,0.0,52,15,32
Nov 2017,8.0,29,4.1,49,5,26
Dec 2017,19.6,61,11.9,46,-8,20
