#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 673: Old Battle, WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Old Battle (673) 
# Wyoming  SNOTEL Site - 10000 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Feb 4, 2018 7:27:38 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,9.0,,12.6,29,1,16
Feb 1998,18.6,,22.9,38,-6,16
Mar 1998,24.4,,27.9,48,-5,20
Apr 1998,31.3,,34.1,58,10,28
May 1998,35.1,,38.9,61,23,40
Jun 1998,24.5,,42.4,72,24,42
Jul 1998,1.8,,47.8,80,42,57
Aug 1998,0.0,,49.8,73,38,54
Sep 1998,0.0,,50.5,75,33,49
Oct 1998,0.0,,0.0,53,17,33
Nov 1998,2.8,,5.7,42,5,23
Dec 1998,8.1,,12.0,36,-16,13
Jan 1999,10.9,,16.0,33,-3,16
Feb 1999,18.3,,24.4,37,-6,17
Mar 1999,24.2,,31.0,50,-1,25
Apr 1999,28.0,,34.6,57,2,26
May 1999,36.9,,43.3,65,8,35
Jun 1999,32.4,,49.8,67,26,45
Jul 1999,0.0,,53.5,74,38,56
Aug 1999,0.0,,54.8,72,38,53
Sep 1999,0.0,,57.0,64,15,41
Oct 1999,0.0,,0.0,58,7,36
Nov 1999,0.5,,0.9,52,-1,30
Dec 1999,2.7,,3.8,36,-3,15
Jan 2000,7.1,,8.6,32,-7,15
Feb 2000,14.4,,16.3,34,3,20
Mar 2000,21.4,,24.3,47,6,22
Apr 2000,26.0,,29.2,64,4,34
May 2000,27.8,,33.0,67,13,42
Jun 2000,12.8,,37.1,72,26,49
Jul 2000,0.0,,38.5,79,41,59
Aug 2000,0.0,,39.7,80,40,57
Sep 2000,0.0,,40.7,72,16,45
Oct 2000,0.3,,0.0,54,19,34
Nov 2000,1.8,,1.9,30,-5,12
Dec 2000,6.1,,6.6,28,-3,14
Jan 2001,12.5,,13.9,32,-3,13
Feb 2001,14.8,,16.3,31,-10,16
Mar 2001,19.7,,22.0,44,4,22
Apr 2001,23.6,,25.5,61,11,31
May 2001,29.6,,33.4,67,15,40
Jun 2001,12.7,,35.3,76,16,51
Jul 2001,0.0,,35.8,81,40,59
Aug 2001,0.0,,37.2,77,39,56
Sep 2001,0.0,,38.4,72,22,49
Oct 2001,0.0,,0.0,61,11,34
Nov 2001,1.2,,2.6,48,-5,25
Dec 2001,5.6,,6.9,28,-1,13
Jan 2002,10.4,,12.5,31,-12,11
Feb 2002,12.4,,15.4,36,-16,13
Mar 2002,16.3,,18.8,44,-16,17
Apr 2002,20.4,,24.2,56,15,32
May 2002,22.9,,28.2,73,11,39
Jun 2002,6.4,,29.5,79,23,53
Jul 2002,0.0,,32.2,80,42,60
Aug 2002,0.0,,33.3,77,35,55
Sep 2002,0.0,,34.8,73,28,44
Oct 2002,0.3,0,0.0,53,5,30
