#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 703: Powder River Pass, WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Powder River Pass (703) 
# Wyoming  SNOTEL Site - 9480 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Feb 4, 2018 7:22:34 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,3.6,,5.0,36,-10,14
Feb 1998,6.0,,7.1,42,-8,16
Mar 1998,8.0,,9.1,41,-14,18
Apr 1998,10.3,,11.1,54,2,26
May 1998,10.9,,15.2,59,17,37
Jun 1998,0.0,,16.8,63,22,38
Jul 1998,0.0,,21.6,78,39,56
Aug 1998,0.0,,24.0,70,38,52
Sep 1998,0.0,,24.8,72,29,48
Oct 1998,0.0,,0.0,55,20,34
Nov 1998,0.7,,2.6,43,1,24
Dec 1998,2.2,,4.2,42,-28,14
Jan 1999,4.8,,6.8,36,-12,18
Feb 1999,8.4,,10.5,40,-11,19
Mar 1999,11.1,,13.1,46,-3,25
Apr 1999,11.9,,15.1,48,2,27
May 1999,13.1,,19.0,58,14,35
Jun 1999,3.5,,23.5,69,30,44
Jul 1999,0.0,,26.5,74,33,55
Aug 1999,0.0,,26.7,71,37,53
Sep 1999,0.0,,28.7,61,13,39
Oct 1999,0.0,,0.0,55,9,35
Nov 1999,0.0,,1.1,55,1,31
Dec 1999,1.9,,2.9,44,-4,20
Jan 2000,4.3,,5.4,35,-3,17
Feb 2000,5.9,,7.2,40,-2,23
Mar 2000,7.7,,9.1,47,3,24
Apr 2000,9.4,,11.3,57,-3,32
May 2000,6.9,,13.8,60,20,40
Jun 2000,0.0,,17.9,72,28,46
Jul 2000,0.0,,19.8,78,38,56
Aug 2000,0.0,,20.0,77,36,56
Sep 2000,0.0,,20.5,70,15,43
Oct 2000,0.0,,0.0,54,8,33
Nov 2000,0.4,,1.5,44,-7,16
Dec 2000,1.8,,2.9,37,-6,16
Jan 2001,3.0,,4.2,41,-6,19
Feb 2001,3.7,,4.8,35,-14,16
Mar 2001,4.8,,5.9,42,-1,24
Apr 2001,6.6,,7.6,56,8,30
May 2001,5.4,,10.6,65,13,40
Jun 2001,0.0,,12.2,74,25,48
Jul 2001,0.0,,13.8,77,40,56
Aug 2001,0.0,,14.6,81,39,56
Sep 2001,0.0,,15.2,72,23,47
Oct 2001,0.0,,0.0,60,7,32
Nov 2001,2.3,,3.4,52,-4,28
Dec 2001,4.2,,5.5,32,-2,16
Jan 2002,4.8,,6.3,43,-11,14
Feb 2002,6.0,,7.5,40,-22,18
Mar 2002,7.5,,9.1,42,-20,18
Apr 2002,8.7,,10.4,52,-4,28
May 2002,9.2,,14.5,64,10,36
Jun 2002,0.0,,18.2,76,28,49
Jul 2002,0.0,,19.1,81,37,57
Aug 2002,0.0,,21.5,69,33,50
Sep 2002,0.0,,24.4,68,21,43
Oct 2002,0.0,,0.0,47,-2,28
Nov 2002,1.7,,2.4,44,-2,23
Dec 2002,3.2,,4.1,40,-3,20
Jan 2003,3.9,,4.7,48,1,24
Feb 2003,5.4,,6.5,41,-27,13
Mar 2003,8.1,,9.0,47,-3,24
Apr 2003,10.9,,11.9,52,4,32
May 2003,8.7,,15.0,67,17,38
Jun 2003,0.0,,17.2,72,23,44
Jul 2003,0.0,0,20.7,79,39,58
Aug 2003,0.0,0,21.1,80,36,57
Sep 2003,0.0,0,22.3,69,18,41
Oct 2003,0.0,0,0.0,65,2,37
Nov 2003,1.1,6,1.5,47,-14,18
Dec 2003,2.6,13,3.1,46,-2,20
