#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 389: Casper Mtn., WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Observed    Value       None           Instantaneous - Start of Month  N/A        Degrees fahrenheit  N/A           TOBS          Instantaneously observed air temperature                                                           
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Casper Mtn. (389) 
# Wyoming  SNOTEL Site - 7900 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Feb 4, 2018 11:37:05 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Observed (degF) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,6.7,,6.8,28,36,-1,21
Feb 1998,8.8,35,8.7,19,50,4,22
Mar 1998,11.1,43,10.5,10,54,-4,24
Apr 1998,12.7,42,12.6,25,64,13,34
May 1998,10.2,29,15.0,39,71,28,46
Jun 1998,0.0,2,16.0,51,75,25,46
Jul 1998,0.0,5,19.4,51,87,46,63
Aug 1998,0.0,2,21.1,59,81,45,60
Sep 1998,0.0,5,22.8,52,83,33,56
Oct 1998,0.0,5,0.0,42,63,24,37
Nov 1998,2.1,7,7.6,28,49,5,29
Dec 1998,2.9,10,8.6,36,44,-24,20
Jan 1999,3.7,16,9.5,27,37,-4,21
Feb 1999,6.9,31,12.3,23,43,-2,23
Mar 1999,9.6,36,14.4,30,57,1,30
Apr 1999,10.3,34,15.9,19,56,6,30
May 1999,13.7,36,21.2,35,66,21,40
Jun 1999,0.0,0,24.6,36,77,32,51
Jul 1999,0.0,0,28.5,40,85,38,62
Aug 1999,0.0,0,29.4,47,84,42,61
Sep 1999,0.0,0,29.7,54,74,21,45
Oct 1999,1.4,1,0.0,40,65,14,40
Nov 1999,0.9,2,1.3,27,58,7,36
Dec 1999,2.5,7,2.4,39,45,-1,21
Jan 2000,6.3,21,4.6,26,40,2,20
Feb 2000,9.5,37,6.9,17,44,-1,25
Mar 2000,12.0,38,9.0,26,54,9,28
Apr 2000,15.5,45,11.5,17,66,10,36
May 2000,12.9,29,15.1,32,74,21,45
Jun 2000,0.0,0,19.0,32,82,29,53
Jul 2000,0.0,3,19.8,57,87,46,64
Aug 2000,0.0,3,20.0,62,87,40,63
Sep 2000,0.0,3,22.2,49,82,16,49
Oct 2000,0.0,1,0.0,46,61,12,37
Nov 2000,0.7,7,1.3,26,39,-5,15
Dec 2000,3.3,16,3.4,14,33,-9,17
Jan 2001,6.4,28,5.6,17,37,-2,19
Feb 2001,7.9,33,6.8,11,37,-14,17
Mar 2001,9.4,37,8.2,18,49,6,26
Apr 2001,11.6,39,9.9,30,66,15,35
May 2001,8.8,26,13.8,48,72,19,45
Jun 2001,0.0,1,16.0,43,83,26,56
Jul 2001,0.0,8,16.4,61,88,46,63
Aug 2001,0.0,7,20.1,53,89,44,63
Sep 2001,0.0,4,20.2,54,83,28,53
Oct 2001,0.0,2,0.0,47,69,16,37
Nov 2001,0.5,0,3.1,32,55,1,30
Dec 2001,3.2,15,4.9,12,36,2,18
Jan 2002,4.2,17,5.8,10,40,-9,16
Feb 2002,4.8,19,6.6,4,43,-14,18
Mar 2002,7.5,39,7.8,-5,53,-12,22
Apr 2002,9.4,30,9.9,36,59,2,34
May 2002,3.5,11,10.6,29,79,15,43
Jun 2002,0.0,1,12.0,57,85,31,57
Jul 2002,0.0,0,12.4,64,89,45,65
