#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 353: Blind Bull Sum, WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Blind Bull Sum (353) 
# Wyoming  SNOTEL Site - 8650 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 5, 2018 7:44:20 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,6.7,,5.3,43,-3,18
Feb 1998,17.4,,13.4,44,-5,18
Mar 1998,19.4,,15.2,52,-4,22
Apr 1998,24.3,,19.2,65,7,29
May 1998,24.0,,20.9,65,21,38
Jun 1998,14.6,,23.7,73,25,44
Jul 1998,0.0,,28.6,84,43,58
Aug 1998,0.0,,29.6,82,37,55
Sep 1998,0.0,,30.7,80,30,49
Oct 1998,0.0,,0.0,63,18,34
Nov 1998,0.8,,2.0,46,5,23
Dec 1998,6.0,,6.5,44,-21,12
Jan 1999,11.4,,9.8,51,-7,17
Feb 1999,18.1,,15.0,50,-8,17
Mar 1999,26.2,,20.4,60,-5,24
Apr 1999,29.0,,22.0,55,1,27
May 1999,32.5,,26.3,68,4,35
Jun 1999,27.1,,29.3,73,25,45
Jul 1999,0.0,,31.8,81,35,56
Aug 1999,0.0,,33.1,78,34,55
Sep 1999,0.0,,34.8,68,14,44
Oct 1999,0.0,,0.0,65,18,39
Nov 1999,0.5,,0.6,62,3,32
Dec 1999,4.6,,3.6,48,-3,19
Jan 2000,8.0,,5.8,38,-2,18
Feb 2000,16.8,,11.4,42,5,23
Mar 2000,22.2,,15.7,50,1,24
Apr 2000,24.9,,17.6,63,8,35
May 2000,22.5,,18.7,62,15,40
Jun 2000,4.9,,21.0,75,25,49
Jul 2000,0.0,,22.9,83,36,57
Aug 2000,0.0,,23.1,81,40,57
Sep 2000,0.0,,24.8,77,19,46
Oct 2000,0.0,0,0.0,59,20,35
Nov 2000,2.0,5,2.5,46,-4,16
Dec 2000,4.5,23,4.8,43,-1,19
Jan 2001,9.0,36,8.0,42,-4,17
Feb 2001,9.7,38,8.6,42,-10,18
Mar 2001,12.8,51,11.2,48,2,26
Apr 2001,15.5,54,12.7,60,5,31
May 2001,15.4,44,15.2,67,13,42
Jun 2001,0.0,0,17.8,79,23,49
Jul 2001,0.0,0,18.7,83,40,57
Aug 2001,0.0,0,21.0,81,40,58
Sep 2001,0.0,0,22.5,74,23,50
Oct 2001,0.0,0,0.0,66,14,36
Nov 2001,3.5,14,3.2,56,-5,28
Dec 2001,6.4,28,6.1,42,-5,16
Jan 2002,11.4,43,10.6,42,-13,15
Feb 2002,14.5,55,12.6,42,-17,18
Mar 2002,16.5,62,13.8,53,-16,20
Apr 2002,21.0,65,16.7,55,8,32
May 2002,23.1,59,20.0,69,10,38
Jun 2002,10.2,25,22.9,78,26,49
Jul 2002,0.0,0,23.7,84,39,58
Aug 2002,0.0,0,25.6,73,32,53
Sep 2002,0.0,0,26.0,74,28,46
