#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 365: Brackett Creek, MT
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Brackett Creek (365) 
# Montana  SNOTEL Site - 7320 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 5, 2018 7:44:26 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,5.7,,7.7,46,-18,21
Feb 1998,11.5,,13.3,52,6,25
Mar 1998,13.7,,15.3,52,-3,26
Apr 1998,17.4,,19.4,69,17,35
May 1998,18.3,,24.2,69,27,43
Jun 1998,0.0,,27.7,67,25,43
Jul 1998,0.0,,35.1,82,44,61
Aug 1998,0.0,,36.7,81,42,61
Sep 1998,0.0,,38.3,82,35,55
Oct 1998,0.0,,0.0,64,26,40
Nov 1998,0.0,,1.5,49,9,30
Dec 1998,4.0,,6.0,44,-28,20
Jan 1999,7.2,,9.1,45,-4,26
Feb 1999,15.5,,16.5,50,8,27
Mar 1999,20.5,,21.1,58,12,31
Apr 1999,24.0,,24.0,58,11,33
May 1999,21.8,,27.0,70,21,41
Jun 1999,2.7,,32.3,70,28,48
Jul 1999,0.0,,37.0,81,34,58
Aug 1999,0.0,,37.2,78,37,59
Sep 1999,0.0,,41.0,67,21,47
Oct 1999,0.0,,0.0,65,16,43
Nov 1999,0.7,,1.3,61,17,39
Dec 1999,2.6,,4.6,51,6,29
Jan 2000,7.2,,9.1,44,11,24
Feb 2000,12.2,,13.6,46,7,29
Mar 2000,14.9,,16.2,53,13,31
Apr 2000,20.2,,20.8,62,15,38
May 2000,12.8,,24.3,65,24,42
Jun 2000,0.2,,31.0,78,28,51
Jul 2000,0.0,,35.3,85,42,62
Aug 2000,0.0,,35.7,84,38,61
Sep 2000,0.0,,36.9,80,16,48
Oct 2000,0.0,,0.0,62,18,39
Nov 2000,0.5,,3.4,46,-3,23
Dec 2000,3.5,,6.5,46,-12,24
Jan 2001,6.4,,9.2,47,8,28
Feb 2001,7.7,,10.4,38,-7,21
Mar 2001,10.0,,13.1,49,17,31
Apr 2001,14.4,,16.9,65,20,35
May 2001,16.1,,23.1,72,21,46
Jun 2001,0.0,,24.7,75,29,51
Jul 2001,0.0,,31.5,78,43,59
Aug 2001,0.0,,33.6,88,44,64
Sep 2001,0.0,,33.7,80,31,55
Oct 2001,0.0,,0.0,67,20,39
Nov 2001,3.0,,5.9,58,10,35
Dec 2001,6.0,,9.3,39,10,24
Jan 2002,8.2,,11.4,45,4,22
Feb 2002,13.4,,16.1,45,-11,24
Mar 2002,16.1,,18.6,53,-8,23
Apr 2002,19.3,,21.1,58,-2,32
May 2002,22.9,,25.3,67,18,40
Jun 2002,10.8,,31.1,79,30,51
Jul 2002,0.0,0,38.5,86,43,61
Aug 2002,0.0,0,40.5,76,35,54
Sep 2002,0.0,0,44.0,76,27,49
Oct 2002,0.0,0,0.0,53,-3,33
