#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 457: Dry Lake, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Dry Lake (457) 
# Colorado  SNOTEL Site - 8400 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 5, 2018 7:44:30 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,5.2,25,9.4,47,0,20
Feb 1998,11.6,48,15.7,48,-6,21
Mar 1998,16.8,63,20.2,61,-11,25
Apr 1998,18.9,55,24.3,65,11,35
May 1998,13.8,30,28.7,73,26,45
Jun 1998,0.0,0,30.3,82,6,49
Jul 1998,0.0,0,34.7,87,43,61
Aug 1998,0.0,0,35.0,82,38,57
Sep 1998,0.0,,37.0,83,29,53
Oct 1998,0.0,0,0.0,70,16,38
Nov 1998,0.0,0,4.5,59,6,28
Dec 1998,2.2,9,7.6,50,-17,16
Jan 1999,4.9,26,10.1,45,0,21
Feb 1999,11.8,47,17.2,58,-9,22
Mar 1999,16.1,52,20.9,61,2,31
Apr 1999,14.6,34,23.1,62,5,33
May 1999,11.1,22,28.5,72,11,41
Jun 1999,0.0,1,32.3,78,27,52
Jul 1999,0.0,4,34.4,83,38,59
Aug 1999,0.0,8,37.4,81,39,56
Sep 1999,0.0,20,39.2,72,19,45
Oct 1999,0.0,10,0.0,71,9,39
Nov 1999,0.0,6,0.6,64,-5,31
Dec 1999,2.0,10,2.4,51,-2,19
Jan 2000,6.3,28,6.6,49,-5,21
Feb 2000,12.5,45,12.3,54,2,26
Mar 2000,21.0,65,19.9,60,6,28
Apr 2000,23.4,57,24.1,74,10,38
May 2000,11.4,25,27.5,81,15,47
Jun 2000,0.0,3,31.5,83,28,54
Jul 2000,0.0,6,32.3,87,39,62
Aug 2000,0.0,7,32.3,88,40,60
Sep 2000,0.0,3,33.5,82,19,49
Oct 2000,0.0,5,0.0,69,22,39
Nov 2000,1.3,6,1.8,49,-10,17
Dec 2000,5.4,25,6.8,46,-4,17
Jan 2001,10.7,37,12.0,49,-9,16
Feb 2001,12.7,51,14.3,46,-15,23
Mar 2001,16.4,54,17.8,54,8,29
Apr 2001,15.9,42,20.9,74,16,37
May 2001,6.6,16,23.5,75,18,46
Jun 2001,0.0,,24.4,85,25,55
Jul 2001,0.0,2,25.1,90,40,62
Aug 2001,0.0,,28.2,85,39,58
Sep 2001,0.0,,30.4,84,23,52
Oct 2001,0.0,,0.0,73,15,39
Nov 2001,0.1,,2.1,60,-10,29
Dec 2001,4.4,27,6.5,48,-6,17
Jan 2002,8.0,31,10.1,45,-17,15
Feb 2002,12.0,42,13.7,53,-11,16
Mar 2002,15.3,50,16.3,59,-13,23
Apr 2002,17.0,40,19.2,63,17,39
May 2002,2.6,0,21.9,83,15,45
Jun 2002,0.0,0,22.5,87,25,58
Jul 2002,0.0,0,22.9,90,40,63
Aug 2002,0.0,0,24.3,85,35,58
