#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 480: Fisher Creek, MT
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Fisher Creek (480) 
# Montana  SNOTEL Site - 9100 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 5, 2018 7:44:24 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,11.9,,11.4,35,-7,18
Feb 1998,21.7,,19.8,43,-3,19
Mar 1998,24.2,,22.0,47,-13,22
Apr 1998,29.4,83,27.0,57,11,30
May 1998,28.2,73,29.4,59,25,38
Jun 1998,22.6,50,32.2,67,18,39
Jul 1998,8.3,31,39.5,76,37,54
Aug 1998,0.0,0,41.1,74,35,52
Sep 1998,0.0,0,43.6,72,29,47
Oct 1998,0.0,0,0.0,57,20,34
Nov 1998,1.3,5,1.6,41,4,24
Dec 1998,10.5,41,9.9,35,-30,12
Jan 1999,18.0,62,16.3,33,0,18
Feb 1999,27.4,84,24.6,39,-4,18
Mar 1999,37.0,113,33.5,52,-8,24
Apr 1999,40.1,101,36.7,50,0,27
May 1999,43.7,97,41.2,63,11,35
Jun 1999,37.4,83,45.4,67,23,42
Jul 1999,12.2,39,49.8,73,32,51
Aug 1999,0.0,0,50.8,71,33,51
Sep 1999,0.0,0,54.4,62,12,40
Oct 1999,0.0,0,0.0,57,6,36
Nov 1999,1.9,4,1.8,53,5,30
Dec 1999,7.1,25,6.3,38,-1,18
Jan 2000,14.0,49,12.5,33,-1,16
Feb 2000,20.6,62,17.7,37,-2,22
Mar 2000,27.8,78,23.9,52,-2,23
Apr 2000,31.8,81,27.4,58,1,32
May 2000,31.1,75,31.4,59,19,38
Jun 2000,22.9,53,36.9,69,23,44
Jul 2000,0.0,0,41.1,78,35,54
Aug 2000,0.0,0,41.9,78,34,53
Sep 2000,0.0,0,42.5,73,12,42
Oct 2000,0.0,0,0.0,55,12,33
Nov 2000,2.5,9,3.7,36,-8,15
Dec 2000,5.0,23,6.0,32,-6,16
Jan 2001,10.3,41,11.4,38,-6,17
Feb 2001,11.4,39,12.4,36,-19,15
Mar 2001,15.9,55,16.8,46,0,25
Apr 2001,18.8,56,19.7,57,6,29
May 2001,21.7,62,25.5,64,8,39
Jun 2001,5.0,31,30.6,70,24,46
Jul 2001,0.0,0,36.2,75,36,53
Aug 2001,0.0,0,40.1,77,36,55
Sep 2001,0.0,0,40.9,72,27,47
Oct 2001,0.0,0,0.0,63,12,33
Nov 2001,4.5,20,4.9,52,-1,27
Dec 2001,7.3,39,7.8,34,-1,16
Jan 2002,13.5,53,13.2,34,-9,14
Feb 2002,20.2,76,19.3,38,-14,17
Mar 2002,23.2,80,21.9,48,-10,19
Apr 2002,32.6,103,31.3,52,1,29
May 2002,37.1,102,36.6,64,6,36
Jun 2002,31.7,64,42.6,72,25,45
Jul 2002,0.0,0,47.0,79,37,55
Aug 2002,0.0,0,49.9,67,32,49
Sep 2002,0.0,0,51.9,67,24,44
Oct 2002,0.3,1,0.0,49,-3,29
Nov 2002,2.6,13,2.5,45,0,24
Dec 2002,5.0,22,5.5,37,-5,20
Jan 2003,10.9,52,10.4,43,3,24
Feb 2003,20.6,83,19.2,39,-22,15
Mar 2003,26.5,88,24.2,47,1,25
Apr 2003,36.4,109,33.4,57,1,32
May 2003,39.1,101,37.7,71,9,38
Jun 2003,35.5,69,42.6,68,25,44
Jul 2003,0.0,0,44.5,78,37,57
Aug 2003,0.0,0,45.0,77,34,55
Sep 2003,0.0,0,46.1,69,23,43
Oct 2003,0.0,0,0.0,64,0,37
Nov 2003,2.8,8,3.8,42,-6,17
Dec 2003,9.2,33,9.8,41,0,20
Jan 2004,16.7,69,16.8,35,-20,17
Feb 2004,22.3,78,21.9,40,-2,19
Mar 2004,25.7,80,25.2,55,4,29
Apr 2004,28.4,76,28.4,56,9,33
May 2004,28.2,69,30.7,58,14,37
Jun 2004,28.9,59,37.2,65,27,43
Jul 2004,0.0,0,41.5,73,35,51
Aug 2004,0.0,0,43.7,70,32,48
Sep 2004,0.0,0,46.9,67,20,42
Oct 2004,0.0,0,0.0,55,6,34
Nov 2004,3.7,23,4.5,53,-8,23
Dec 2004,6.1,27,7.0,35,-16,19
Jan 2005,12.0,53,12.1,43,-4,20
Feb 2005,16.7,55,16.3,47,-5,20
Mar 2005,19.8,64,19.3,46,4,24
Apr 2005,24.8,84,24.5,54,2,30
May 2005,26.3,71,28.2,59,12,37
Jun 2005,20.2,40,32.8,71,24,43
Jul 2005,0.0,0,38.8,76,33,54
Aug 2005,0.0,0,41.8,72,31,50
Sep 2005,0.0,0,44.4,68,28,44
Oct 2005,0.0,0,0.0,58,17,37
Nov 2005,2.4,10,2.7,45,-3,24
Dec 2005,12.7,50,12.6,38,-16,17
Jan 2006,21.4,80,20.8,41,4,20
Feb 2006,30.1,104,28.8,40,-30,15
Mar 2006,35.7,111,33.2,46,-9,22
Apr 2006,39.0,108,36.8,59,14,33
May 2006,44.5,104,42.5,69,16,40
Jun 2006,33.4,61,44.6,72,31,48
Jul 2006,0.0,0,47.9,78,38,57
Aug 2006,0.0,0,50.0,72,30,51
Sep 2006,0.0,0,50.5,72,27,44
Oct 2006,0.0,0,0.0,58,-2,31
Nov 2006,3.1,13,5.0,43,-8,24
Dec 2006,8.9,37,11.4,39,-9,18
Jan 2007,16.0,66,17.2,39,-27,13
