#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 485: Fremont Pass, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Fremont Pass (485) 
# Colorado  SNOTEL Site - 11400 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 5, 2018 7:44:29 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,6.0,,6.0,39,-10,12
Feb 1998,9.4,,9.1,37,-14,12
Mar 1998,11.4,,10.6,51,-11,18
Apr 1998,13.8,,13.5,56,4,24
May 1998,15.5,,16.0,63,15,37
Jun 1998,12.2,,17.3,71,19,42
Jul 1998,0.0,,18.5,74,36,51
Aug 1998,0.0,,23.1,71,32,48
Sep 1998,0.0,,25.1,73,28,45
Oct 1998,0.0,,0.0,55,9,31
Nov 1998,1.6,,2.6,48,-2,21
Dec 1998,3.2,,4.6,45,-17,14
Jan 1999,5.7,,6.1,37,-7,13
Feb 1999,10.4,,10.7,46,-14,15
Mar 1999,13.5,,13.1,54,2,24
Apr 1999,14.8,,14.4,51,-4,23
May 1999,20.0,,19.9,68,4,33
Jun 1999,16.9,,23.0,66,21,43
Jul 1999,0.0,,24.3,73,35,49
Aug 1999,0.0,,26.6,68,32,47
Sep 1999,0.0,,29.7,63,14,38
Oct 1999,0.0,,0.0,57,1,32
Nov 1999,0.9,,1.2,56,-8,26
Dec 1999,1.5,,2.1,39,-10,12
Jan 2000,4.0,,3.8,40,-12,14
Feb 2000,8.5,,8.0,46,-3,18
Mar 2000,11.5,,10.6,46,-3,20
Apr 2000,15.1,,13.8,60,1,30
May 2000,18.6,,17.2,67,8,39
Jun 2000,6.7,,19.4,69,27,45
Jul 2000,0.0,,20.9,72,36,51
Aug 2000,0.0,,22.9,76,35,49
Sep 2000,0.0,,25.3,68,13,42
Oct 2000,0.0,,0.0,58,11,32
Nov 2000,1.4,,1.7,39,-14,11
Dec 2000,3.8,,3.7,34,-9,12
Jan 2001,7.3,,6.6,38,-13,10
Feb 2001,8.5,,7.5,37,-10,15
Mar 2001,11.1,,9.8,47,-1,20
Apr 2001,15.3,,13.3,60,2,29
May 2001,18.1,,16.3,66,5,37
Jun 2001,8.9,,18.7,70,17,47
Jul 2001,0.0,,19.8,76,35,50
Aug 2001,0.0,,24.1,69,33,47
Sep 2001,0.0,,27.0,67,15,42
Oct 2001,0.0,,0.0,56,4,31
Nov 2001,1.1,,1.0,53,-11,22
Dec 2001,4.0,,3.0,36,-10,11
Jan 2002,6.6,,5.0,38,-18,11
Feb 2002,8.8,,6.8,44,-13,10
Mar 2002,11.2,,8.6,47,-13,17
Apr 2002,11.4,,10.5,53,10,32
May 2002,9.2,,11.8,69,14,37
Jun 2002,0.0,,12.5,75,25,49
Jul 2002,0.0,,12.7,78,36,53
Aug 2002,0.0,,14.4,71,30,49
Sep 2002,0.0,,15.5,68,24,40
Oct 2002,0.0,,0.0,51,2,28
Nov 2002,1.1,,2.1,43,-6,17
Dec 2002,4.7,,5.6,36,-12,11
Jan 2003,6.5,,7.4,41,-4,17
Feb 2003,8.3,,8.7,42,-19,11
Mar 2003,12.2,,12.0,53,-8,19
Apr 2003,16.6,,15.6,57,1,27
May 2003,21.1,,19.6,70,9,37
Jun 2003,10.3,,21.1,67,24,42
Jul 2003,0.0,,23.2,77,37,54
Aug 2003,0.0,,24.1,73,33,50
Sep 2003,0.0,,26.0,63,14,40
Oct 2003,0.0,,0.0,63,8,36
Nov 2003,0.0,,0.7,42,-18,18
Dec 2003,3.3,,3.6,44,-12,14
Jan 2004,5.8,,5.8,37,-16,12
Feb 2004,7.7,,7.6,46,-19,11
Mar 2004,10.3,,9.8,52,-2,24
Apr 2004,12.4,,11.9,60,1,28
May 2004,16.2,,15.7,62,10,37
