#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 822: Togwotee Pass, WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Togwotee Pass (822) 
# Wyoming  SNOTEL Site - 9580 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 5, 2018 7:44:05 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,9.1,,9.3,31,-3,15
Feb 1998,17.2,,17.4,36,-5,15
Mar 1998,19.3,,19.6,37,-12,18
Apr 1998,23.3,,23.9,55,4,26
May 1998,25.2,,26.7,58,18,35
Jun 1998,20.2,,29.8,69,22,37
Jul 1998,10.0,,34.4,78,37,54
Aug 1998,0.0,,36.3,73,33,51
Sep 1998,0.0,,38.1,72,28,45
Oct 1998,0.0,,0.0,56,16,31
Nov 1998,1.9,,2.2,39,4,20
Dec 1998,7.4,,7.7,36,-30,9
Jan 1999,13.0,,13.3,32,-8,14
Feb 1999,19.7,,19.7,34,-6,14
Mar 1999,26.1,,25.8,49,-8,20
Apr 1999,28.8,,28.5,49,-4,23
May 1999,32.1,,32.7,64,3,32
Jun 1999,23.5,,36.7,69,21,41
Jul 1999,3.8,,39.4,74,31,51
Aug 1999,0.0,,40.3,71,35,52
Sep 1999,0.0,,41.3,61,13,40
Oct 1999,0.0,0,0.0,58,14,37
Nov 1999,0.5,2,0.9,56,2,30
Dec 1999,2.3,12,3.6,43,-1,19
Jan 2000,6.1,26,7.4,33,-5,16
Feb 2000,12.3,48,13.5,40,2,22
Mar 2000,16.9,61,17.8,45,2,23
Apr 2000,21.4,67,22.2,58,3,32
May 2000,23.3,55,25.9,58,14,38
Jun 2000,10.6,21,29.5,70,24,46
Jul 2000,0.0,0,31.5,77,38,55
Aug 2000,0.0,0,32.2,76,38,54
Sep 2000,0.0,0,33.0,70,13,42
Oct 2000,0.0,0,0.0,55,16,33
Nov 2000,2.7,10,2.9,41,-5,15
Dec 2000,5.0,29,5.2,38,-5,16
Jan 2001,9.1,39,9.3,39,-2,17
Feb 2001,10.5,44,10.7,36,-13,15
Mar 2001,14.0,58,14.2,45,7,24
Apr 2001,16.7,60,16.9,58,1,29
May 2001,17.5,52,20.0,64,10,39
Jun 2001,0.0,0,21.9,73,22,47
Jul 2001,0.0,0,23.3,76,38,54
Aug 2001,0.0,0,24.9,78,38,55
Sep 2001,0.0,0,25.4,70,20,47
Oct 2001,0.0,0,0.0,60,9,33
Nov 2001,3.5,13,3.6,55,-8,26
Dec 2001,6.2,31,6.3,31,-2,15
Jan 2002,10.3,44,10.3,37,-16,13
Feb 2002,14.1,58,13.7,41,-16,16
Mar 2002,15.8,64,15.3,46,-15,18
Apr 2002,20.9,72,20.2,52,4,29
May 2002,24.3,72,23.8,67,9,36
Jun 2002,16.4,42,26.3,74,19,46
Jul 2002,0.0,0,27.7,81,35,56
Aug 2002,0.0,0,29.4,69,31,50
Sep 2002,0.0,0,29.8,68,23,43
