#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 826: Townsend Creek, WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Townsend Creek (826) 
# Wyoming  SNOTEL Site - 8700 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 4, 2018 12:13:02 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,5.6,,6.7,47,-9,23
Feb 1998,7.1,,8.1,49,-17,20
Mar 1998,8.6,,9.1,53,-21,24
Apr 1998,11.9,,13.1,61,2,32
May 1998,11.5,,16.3,65,22,42
Jun 1998,0.0,,18.0,74,24,44
Jul 1998,0.0,,23.2,85,37,58
Aug 1998,0.0,,25.4,80,33,55
Sep 1998,0.0,,26.9,81,29,49
Oct 1998,0.0,,0.0,63,12,35
Nov 1998,1.9,,4.0,52,-8,28
Dec 1998,3.8,,6.4,51,-39,18
Jan 1999,4.5,,7.2,46,-11,23
Feb 1999,5.8,,8.3,49,-17,24
Mar 1999,8.7,,11.5,58,-13,28
Apr 1999,9.8,,12.9,60,-3,30
May 1999,19.7,,25.0,66,4,38
Jun 1999,4.7,,26.9,74,29,49
Jul 1999,0.0,,28.6,79,32,58
Aug 1999,0.0,,29.6,78,36,56
Sep 1999,0.0,,30.8,71,15,43
Oct 1999,1.0,,0.0,67,6,39
Nov 1999,0.8,,1.1,64,-8,35
Dec 1999,0.9,,1.6,50,-9,21
Jan 2000,1.8,,2.4,44,-15,21
Feb 2000,3.5,,4.4,51,-7,26
Mar 2000,4.9,,5.7,56,-2,27
Apr 2000,7.0,,8.2,65,-6,37
May 2000,3.6,,11.8,69,18,45
Jun 2000,0.0,,16.1,78,22,51
Jul 2000,0.0,,17.4,85,33,60
Aug 2000,0.0,,17.8,88,32,59
Sep 2000,0.0,,19.2,78,11,47
Oct 2000,0.0,,0.0,61,11,36
Nov 2000,0.9,,1.7,52,-17,15
Dec 2000,2.1,,3.1,47,-14,19
Jan 2001,2.9,,3.9,49,-11,19
Feb 2001,3.3,,4.4,44,-25,19
Mar 2001,4.4,,5.2,54,-4,27
Apr 2001,5.1,,6.2,65,6,34
May 2001,1.1,,8.2,72,14,44
Jun 2001,0.0,,10.1,84,26,53
Jul 2001,0.0,,10.6,87,35,60
Aug 2001,0.0,,11.2,87,34,58
Sep 2001,0.0,,12.3,83,20,49
Oct 2001,0.0,,0.0,71,6,38
Nov 2001,0.0,,0.5,61,-14,29
Dec 2001,0.7,,1.3,45,-6,18
Jan 2002,2.0,,2.4,49,-26,16
Feb 2002,3.2,,3.7,52,-25,20
Mar 2002,4.2,,4.6,56,-27,23
Apr 2002,5.8,,6.7,58,2,34
May 2002,2.9,,9.6,78,10,41
Jun 2002,0.0,,12.5,83,27,53
Jul 2002,0.0,,12.5,91,35,61
Aug 2002,0.0,,13.6,80,28,55
Sep 2002,0.0,,13.8,77,21,47
Oct 2002,0.0,,0.0,60,-10,30
Nov 2002,1.3,,3.2,55,-13,24
Dec 2002,2.4,,4.2,47,-14,20
Jan 2003,3.0,,4.6,55,-4,26
Feb 2003,3.9,,5.4,51,-30,16
Mar 2003,6.6,,8.4,57,-9,28
Apr 2003,10.6,,12.2,60,-3,36
May 2003,5.3,,13.6,80,15,43
Jun 2003,0.0,,15.6,77,28,48
Jul 2003,0.0,,18.3,86,36,61
Aug 2003,0.0,,19.1,86,33,59
Sep 2003,0.0,0,21.0,70,13,44
Oct 2003,0.0,0,0.0,71,5,41
Nov 2003,1.4,13,2.1,46,-20,22
Dec 2003,2.3,10,2.9,47,-9,23
Jan 2004,4.3,23,4.9,49,-15,20
Feb 2004,5.3,23,6.2,46,-18,19
Mar 2004,9.0,52,9.8,61,-5,32
Apr 2004,8.7,26,9.9,58,5,35
May 2004,10.2,31,16.2,65,19,42
Jun 2004,0.0,0,18.1,71,28,48
Jul 2004,0.0,0,21.6,79,31,55
Aug 2004,0.0,0,23.1,76,29,51
Sep 2004,0.0,0,26.3,74,20,46
Oct 2004,0.0,0,0.0,62,11,36
Nov 2004,1.6,14,4.0,57,-17,26
Dec 2004,3.2,18,6.4,49,-27,23
Jan 2005,5.5,31,8.1,58,-12,24
Feb 2005,7.8,35,10.7,50,-13,21
Mar 2005,8.4,35,11.5,57,-11,26
Apr 2005,10.0,42,13.0,61,6,34
May 2005,10.4,34,16.9,68,4,42
Jun 2005,0.0,0,20.9,79,24,50
Jul 2005,0.0,0,22.9,87,30,60
Aug 2005,0.0,0,23.3,79,28,54
Sep 2005,0.0,0,24.6,75,24,48
Oct 2005,0.0,0,0.0,67,9,39
Nov 2005,0.0,0,2.4,54,-18,28
