#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 870: Willow Park, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Willow Park (870) 
# Colorado  SNOTEL Site - 10700 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 5, 2018 7:44:28 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,6.7,,8.8,39,-6,16
Feb 1998,10.5,,13.1,41,-8,15
Mar 1998,13.0,,15.4,54,-14,20
Apr 1998,16.0,,18.1,58,4,25
May 1998,20.8,,22.6,62,12,37
Jun 1998,1.2,,24.9,73,19,41
Jul 1998,0.0,,28.6,80,35,51
Aug 1998,0.0,,31.2,73,29,48
Sep 1998,0.0,,34.2,72,26,45
Oct 1998,0.0,,0.0,57,14,31
Nov 1998,1.5,,3.6,52,3,24
Dec 1998,2.7,,5.7,49,-13,16
Jan 1999,6.1,,8.3,43,-8,16
Feb 1999,10.5,,14.5,49,-10,18
Mar 1999,13.2,,17.7,55,-2,24
Apr 1999,15.3,,19.9,52,-7,23
May 1999,24.5,,28.1,62,6,33
Jun 1999,18.4,,33.4,70,25,42
Jul 1999,0.0,,36.1,72,32,50
Aug 1999,0.0,,38.8,69,31,47
Sep 1999,0.0,,41.1,64,12,39
Oct 1999,0.0,,0.0,62,-1,34
Nov 1999,0.1,,0.9,59,-12,29
Dec 1999,2.1,,2.9,45,-7,15
Jan 2000,5.5,,6.1,42,-13,15
Feb 2000,10.9,,12.3,44,-5,21
Mar 2000,14.8,,17.2,52,-3,21
Apr 2000,21.2,,21.7,60,-3,31
May 2000,18.4,,25.1,68,9,40
Jun 2000,0.0,,28.2,74,26,45
Jul 2000,0.0,,29.8,75,34,51
Aug 2000,0.0,,30.6,72,34,50
Sep 2000,0.0,,34.5,72,10,42
Oct 2000,0.0,,0.0,60,13,33
Nov 2000,0.3,,1.5,43,-12,13
Dec 2000,4.0,,4.2,41,-4,14
Jan 2001,7.8,,9.2,44,-13,13
Feb 2001,8.6,,10.3,42,-10,17
Mar 2001,11.8,,14.1,49,-2,21
Apr 2001,14.8,,17.7,61,2,30
May 2001,15.7,,22.0,66,8,37
Jun 2001,0.0,,25.7,76,22,46
Jul 2001,0.0,,26.8,77,35,52
Aug 2001,0.0,,27.8,72,33,48
Sep 2001,0.0,,31.2,69,18,42
Oct 2001,0.0,0,0.0,62,9,33
Nov 2001,0.1,,2.1,54,-11,24
Dec 2001,2.7,,4.2,38,-6,14
Jan 2002,5.0,16,7.1,43,-19,13
Feb 2002,7.0,27,9.8,46,-18,13
Mar 2002,9.5,40,12.8,52,-12,19
Apr 2002,10.5,34,15.5,58,10,32
May 2002,6.2,18,17.7,73,10,36
Jun 2002,0.0,0,20.1,75,26,49
Jul 2002,0.0,0,20.9,77,34,52
Aug 2002,0.0,0,23.0,74,27,48
Sep 2002,0.0,0,24.9,72,24,42
