#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1998 to Dec 2017
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 875: Wolverine, WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration               Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Month  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Month                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Wolverine (875) 
# Wyoming  SNOTEL Site - 7650 ft
# Reporting Frequency: Monthly; Date Range: Jan 1998 to Dec 2017
#
# As of: Apr 4, 2018 12:13:00 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Month Values,Snow Depth (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
Jan 1998,3.6,,5.3,45,-11,21
Feb 1998,7.6,,8.3,59,0,23
Mar 1998,7.9,,8.7,54,-11,26
Apr 1998,9.3,,10.4,64,10,34
May 1998,2.2,,11.3,68,24,42
Jun 1998,0.0,,12.6,72,19,43
Jul 1998,0.0,,16.1,87,42,60
Aug 1998,0.0,,18.1,82,39,58
Sep 1998,0.0,,20.4,80,33,53
Oct 1998,0.0,,0.0,64,23,39
Nov 1998,0.0,,1.5,52,12,30
Dec 1998,3.5,,3.8,44,-31,19
Jan 1999,8.2,,6.5,46,4,24
Feb 1999,11.7,,10.0,51,3,25
Mar 1999,13.0,,11.7,60,-3,30
Apr 1999,12.4,,12.6,58,5,33
May 1999,8.8,,15.1,67,21,41
Jun 1999,0.0,,16.5,74,30,49
Jul 1999,0.0,,18.8,82,35,58
Aug 1999,0.0,,19.9,78,40,57
Sep 1999,0.0,,21.6,69,17,45
Oct 1999,0.0,,0.0,66,15,42
Nov 1999,0.0,,1.5,62,13,37
Dec 1999,2.3,,3.4,50,2,25
Jan 2000,5.9,,6.7,47,0,23
Feb 2000,9.0,,9.0,45,0,28
Mar 2000,10.6,,11.1,53,1,30
Apr 2000,11.1,,12.5,65,6,39
May 2000,0.0,,13.2,64,26,44
Jun 2000,0.0,,17.0,78,31,51
Jul 2000,0.0,,19.6,83,39,60
Aug 2000,0.0,,20.5,99,37,59
Sep 2000,0.0,,20.9,79,14,48
Oct 2000,0.0,,0.0,62,17,38
Nov 2000,0.0,,2.4,46,-5,22
Dec 2000,0.6,,3.3,43,-5,23
Jan 2001,4.2,,4.8,50,-3,23
Feb 2001,4.4,,5.3,43,-16,21
Mar 2001,6.3,,6.6,52,7,31
Apr 2001,6.7,,7.6,63,10,35
May 2001,0.0,,9.3,70,12,46
Jun 2001,0.0,,11.1,77,28,53
Jul 2001,0.0,,13.7,82,-86,59
Aug 2001,0.0,0,14.7,83,38,60
Sep 2001,0.0,0,14.8,79,31,53
Oct 2001,0.0,0,0.0,69,17,39
Nov 2001,0.0,0,2.4,56,2,33
Dec 2001,1.2,7,3.9,39,0,22
Jan 2002,3.6,17,5.0,44,-2,20
Feb 2002,5.0,23,6.5,51,-13,23
Mar 2002,5.9,27,7.7,53,-10,24
Apr 2002,7.2,26,10.2,56,4,33
May 2002,0.9,3,12.4,72,15,41
Jun 2002,0.0,0,15.0,80,30,52
Jul 2002,0.0,0,16.6,86,40,61
Aug 2002,0.0,0,18.9,75,32,54
Sep 2002,0.0,0,20.1,76,26,50
Oct 2002,0.0,0,0.0,57,-6,34
Nov 2002,0.5,1,2.3,51,-1,29
Dec 2002,1.7,6,4.0,43,-1,26
Jan 2003,3.0,13,5.2,51,0,29
Feb 2003,7.9,31,8.3,46,-23,20
Mar 2003,10.1,36,9.9,55,4,30
Apr 2003,12.7,35,12.4,88,8,39
May 2003,4.7,10,13.8,78,11,44
Jun 2003,0.0,0,16.3,76,21,48
Jul 2003,0.0,0,18.4,85,40,62
Aug 2003,0.0,0,18.8,83,36,61
Sep 2003,0.0,0,19.0,76,26,48
Oct 2003,0.0,0,0.0,72,1,43
Nov 2003,0.8,5,1.4,55,-8,24
Dec 2003,3.3,13,3.4,48,2,26
Jan 2004,5.2,22,5.3,43,-22,24
Feb 2004,7.0,31,6.7,51,-7,24
Mar 2004,7.6,31,7.6,61,9,35
Apr 2004,2.1,7,8.7,60,9,38
May 2004,0.0,0,10.3,64,18,42
Jun 2004,0.0,0,12.9,72,30,49
Jul 2004,0.0,0,16.1,82,39,57
Aug 2004,0.0,0,17.6,79,34,54
Sep 2004,0.0,0,20.8,74,23,48
Oct 2004,0.0,0,0.0,65,14,40
Nov 2004,0.5,3,1.6,58,-11,30
Dec 2004,1.4,5,2.5,43,-11,26
Jan 2005,3.8,15,3.9,53,-10,26
Feb 2005,5.1,17,5.1,56,0,27
Mar 2005,6.2,22,6.1,53,10,30
Apr 2005,7.6,24,7.4,62,8,36
May 2005,0.4,1,8.6,64,16,42
Jun 2005,0.0,0,12.1,78,28,50
Jul 2005,0.0,0,14.4,84,38,61
Aug 2005,0.0,0,15.1,80,34,56
Sep 2005,0.0,0,16.8,74,30,49
Oct 2005,0.0,0,0.0,67,26,42
Nov 2005,0.0,0,0.9,55,3,31
Dec 2005,2.2,9,2.9,52,-19,23
Jan 2006,5.1,20,4.8,53,11,26
Feb 2006,7.6,29,6.4,52,-28,21
Mar 2006,8.1,27,8.1,55,-3,27
Apr 2006,8.5,25,8.9,64,19,38
May 2006,0.0,0,10.0,72,20,46
Jun 2006,0.0,0,12.3,77,35,55
Jul 2006,0.0,0,13.8,85,42,63
Aug 2006,0.0,0,15.6,80,35,57
Sep 2006,0.0,0,16.2,78,30,49
Oct 2006,0.0,0,0.0,65,9,37
Nov 2006,0.0,0,1.9,52,0,30
Dec 2006,2.0,7,4.0,47,-8,25
Jan 2007,4.5,17,5.9,47,-26,19
Feb 2007,6.2,22,7.4,52,-9,26
Mar 2007,8.1,31,9.8,56,0,35
Apr 2007,4.1,8,10.5,66,13,37
May 2007,0.0,0,12.8,71,25,46
Jun 2007,0.0,0,13.4,83,35,55
Jul 2007,0.0,0,14.8,86,41,64
Aug 2007,0.0,0,18.2,82,37,59
Sep 2007,0.0,0,19.4,80,28,49
Oct 2007,0.0,0,0.0,63,18,39
Nov 2007,0.0,0,3.6,54,-2,31
Dec 2007,1.1,6,5.4,39,-6,19
Jan 2008,4.2,19,7.6,48,-19,18
Feb 2008,5.9,25,9.2,55,-1,24
Mar 2008,8.8,32,11.2,46,2,25
Apr 2008,11.7,46,14.6,64,7,32
May 2008,9.2,25,15.6,70,20,42
Jun 2008,0.0,0,20.5,79,28,50
Jul 2008,0.0,0,23.0,82,34,60
Aug 2008,0.0,0,23.0,82,35,59
Sep 2008,0.0,0,23.9,74,27,47
Oct 2008,0.0,0,0.0,71,15,40
Nov 2008,0.0,0,1.5,55,18,34
Dec 2008,0.1,1,2.7,40,-21,19
Jan 2009,4.6,22,5.5,58,-10,24
